user_id,mo_id
86,92
3098,3119
7833,3119
5706,5697
7733,7787
7734,7788
7735,7789
7736,7790
7737,7791
7738,7792
7739,7793
7740,7794
3954,7795
7743,7796
7745,7797
7747,7798
7748,7799
7749,7800
7750,7801
7753,7802
7754,7803
7755,7804
7756,7805
7757,7806
7758,7807
7759,7808
7760,7809
7762,7810
7763,7813
7764,7814
7766,7815
7767,7816
7768,7817
7769,7818
7770,7819
7771,7820
7772,7821
7773,7822
7774,7823
